Name,Sequence Name,Locustag,Accession,Database,Id,InterPro ID,InterPro Name,InterPro Type,Name
FMO,NZ_CP013187,PP2015_RS02400,WP_058028753.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP013187,PP2015_RS02400,WP_058028753.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP013366,WS51_RS17015,WP_059546222.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP013366,WS51_RS17015,WP_059546222.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP013399,WJ12_RS16540,WP_059561063.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP013399,WJ12_RS16540,WP_059561063.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP013401,WJ16_RS06410,WP_069256340.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP013401,WJ16_RS06410,WP_069256340.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP013404,WJ23_RS06895,WP_069247675.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP013404,WJ23_RS06895,WP_069247675.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP013418,WS78_RS30485,WP_059579783.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP013418,WS78_RS30485,WP_059579783.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP013427,WS87_RS11300,WP_059815572.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP013427,WS87_RS11300,WP_059815572.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP013449,AQ611_RS16275,AQ611_RS16275,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP013449,AQ611_RS16275,AQ611_RS16275,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP014867,A3218_RS01725,WP_162269999.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP015726,A7B19_RS43960,WP_063737380.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP015726,A7B19_RS43960,WP_063737380.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP015866,Spa2297_RS01395,WP_064726129.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP015866,Spa2297_RS01395,WP_064726129.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP015963,A6F69_RS00580,WP_067596476.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP015963,A6F69_RS00580,WP_067596476.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP016795,BC342_RS01475,WP_031032679.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP016795,BC342_RS01475,WP_031032679.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP016796,F7310_RS04455,WP_072712088.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP016796,F7310_RS04455,WP_072712088.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP017047,BGI49_RS29945,WP_076849269.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP017047,BGI49_RS29945,WP_076849269.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP017599,BJP34_RS13580,WP_070392810.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP017599,BJP34_RS13580,WP_070392810.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP017599,BJP34_RS31500,WP_229424118.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP017599,BJP34_RS31500,WP_229424118.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP017708,BJP36_RS08175,WP_071104295.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP017708,BJP36_RS08175,WP_071104295.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP017708,BJP36_RS09590,WP_071107007.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP017708,BJP36_RS09590,WP_071107007.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP017839,NS506_RS30435,WP_045437381.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP017839,NS506_RS30435,WP_045437381.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP018082,BOX37_RS24465,WP_071929680.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP018082,BOX37_RS24465,WP_071929680.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP018382,BOC43_RS04555,WP_038787053.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP018382,BOC43_RS04555,WP_038787053.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP019420,BVC93_RS25630,WP_083739894.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP019420,BVC93_RS25630,WP_083739894.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP019724,B1H29_RS34605,WP_055420196.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP019724,B1H29_RS34605,WP_055420196.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP020104,B5M13_RS15215,WP_080056492.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMO,NZ_CP020771,BH695_RS07130,WP_002741308.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP020771,BH695_RS07130,WP_002741308.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP022088,CEQ30_RS01885,WP_042257190.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP022088,CEQ30_RS01885,WP_042257190.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP022088,CEQ30_RS37395,WP_042254510.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP022088,CEQ30_RS37395,WP_042254510.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP022161,CES90_RS19105,WP_189786020.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP022161,CES90_RS19105,WP_189786020.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP022161,CES90_RS29190,WP_189783473.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP022161,CES90_RS29190,WP_189783473.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP023445,CNX65_RS10575,WP_096492617.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP023445,CNX65_RS10575,WP_096492617.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP023703,CP966_RS30335,WP_150473570.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP023703,CP966_RS30335,WP_150473570.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP023776,CNX72_RS22405,WP_120183763.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP023776,CNX72_RS22405,WP_120183763.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP025394,CFP65_RS14195,WP_104816444.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP025394,CFP65_RS14195,WP_104816444.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP025624,C0058_RS20950,WP_102369480.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP025624,C0058_RS20950,WP_102369480.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP026730,C4J65_RS33275,WP_115745778.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP026730,C4J65_RS33275,WP_115745778.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP027297,C1N79_RS03275,WP_030973472.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP027297,C1N79_RS03275,WP_030973472.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP027306,C5746_RS38780,WP_232837911.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP027306,C5746_RS38780,WP_232837911.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP027521,AAF50_RS26915,WP_032285176.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP027526,MSR1_RS07765,WP_106002054.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP027526,MSR1_RS07765,WP_106002054.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP027753,C4K04_RS18765,WP_124321197.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP028347,C7W88_RS11910,WP_118073690.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP028347,C7W88_RS11910,WP_118073690.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP028369,C6376_RS33510,WP_107446809.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP028369,C6376_RS33510,WP_107446809.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP029190,DEJ50_RS29590,WP_150211126.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP029190,DEJ50_RS29590,WP_150211126.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP029241,DEH18_RS29585,WP_051846242.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP029241,DEH18_RS29585,WP_051846242.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP029342,B9S64_RS25610,WP_103493808.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP029342,B9S64_RS25610,WP_103493808.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP029495,DK842_RS05890,WP_168194823.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP029607,APASM_RS10880,WP_118945900.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP029607,APASM_RS10880,WP_118945900.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP029710,DMB37_RS13010,WP_135232920.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP029710,DMB37_RS13010,WP_135232920.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP029788,DMT42_RS11675,WP_110627837.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP029788,DMT42_RS11675,WP_110627837.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP030074,DN051_RS41490,WP_053758795.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP030074,DN051_RS41490,WP_053758795.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP031560,DZA65_RS14235,WP_024106526.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP031560,DZA65_RS14235,WP_024106526.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP031963,D1818_RS14150,WP_118459656.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP031963,D1818_RS14150,WP_118459656.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP032325,D3093_RS32660,WP_137118688.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP032325,D3093_RS32660,WP_137118688.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP032333,D3867_RS30220,WP_137106695.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP032333,D3867_RS30220,WP_137106695.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP032459,D5S12_RS12960,WP_072366638.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP033745,EGY19_RS05665,WP_105773041.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP033745,EGY19_RS05665,WP_105773041.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP033750,EGY20_RS18385,WP_123790383.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP033750,EGY20_RS18385,WP_123790383.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP034353,D1J63_RS34445,WP_125634403.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP034353,D1J63_RS34445,WP_125634403.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP034539,EJ357_RS34600,WP_126395621.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP034766,ELX43_RS07445,WP_127782812.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP034766,ELX43_RS07445,WP_127782812.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP034834,ELR70_RS02790,WP_235577122.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP036289,Pan97_RS22130,WP_165698914.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP036289,Pan97_RS22130,WP_165698914.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP036317,Pan153_RS20330,WP_145457526.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP036317,Pan153_RS20330,WP_145457526.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP036341,Mal35_RS17665,WP_154933697.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP036341,Mal35_RS17665,WP_154933697.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP036534,EZV63_RS01830,WP_166623496.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP036534,EZV63_RS01830,WP_166623496.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP037913,E2E30_RS10145,WP_133189472.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP038001,DCC84_RS22055,WP_102369480.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP038001,DCC84_RS22055,WP_102369480.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP039123,E5N77_RS03075,WP_029392900.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP039123,E5N77_RS03075,WP_029392900.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP039254,E5769_RS06505,WP_136170137.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP039254,E5769_RS06505,WP_136170137.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP040244,FDM97_RS19780,WP_254705941.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP040244,FDM97_RS19780,WP_254705941.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP041191,FJ695_RS03630,WP_141184175.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP041191,FJ695_RS03630,WP_141184175.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP041635,C7C57_RS09645,WP_187976232.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP042324,FQ762_RS00550,WP_238363714.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP042324,FQ762_RS00550,WP_238363714.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP042324,FQ762_RS38530,WP_003971674.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP042324,FQ762_RS38530,WP_003971674.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP042910,GmarT_RS18050,WP_002645517.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP042910,GmarT_RS18050,WP_002645517.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP043317,FYC74_RS34625,WP_194279012.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP043317,FYC74_RS34625,WP_194279012.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP044054,FOB31_RS04630,WP_053297372.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP044054,FOB31_RS04630,WP_053297372.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP044549,F9K07_RS07970,WP_159591142.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP044549,F9K07_RS07970,WP_159591142.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP045547,GEV49_RS35675,WP_153181390.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP045547,GEV49_RS35675,WP_153181390.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP045649,GFH29_RS04405,WP_228387762.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP045649,GFH29_RS04405,WP_228387762.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP045768,GFD20_RS09595,WP_023131067.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP045768,GFD20_RS09595,WP_023131067.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP045809,GII31_RS11480,WP_260839948.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP045809,GII31_RS11480,WP_260839948.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP046058,D3800_RS04525,WP_103112241.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP046058,D3800_RS04525,WP_103112241.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP046058,D3800_RS13135,WP_024970095.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP046058,D3800_RS13135,WP_024970095.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP046171,F5X71_RS28380,WP_167464762.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP046171,F5X71_RS28380,WP_167464762.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP046336,FOC27_RS10540,WP_155824149.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP046336,FOC27_RS10540,WP_155824149.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP046343,FOC34_RS14680,WP_155818851.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP046343,FOC34_RS14680,WP_155818851.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP046905,GPZ77_RS02870,WP_232542632.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP046905,GPZ77_RS02870,WP_232542632.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP047019,A7X85_RS37660,WP_112476264.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP047019,A7X85_RS37660,WP_112476264.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP047694,GV055_RS20820,WP_272641898.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP047694,GV055_RS20820,WP_272641898.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP047695,GV054_RS20770,WP_013663195.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP047695,GV054_RS20770,WP_013663195.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP048289,GXP74_RS31925,WP_182454743.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP048289,GXP74_RS31925,WP_182454743.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP048405,GXW83_RS22750,WP_182444904.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP048405,GXW83_RS22750,WP_182444904.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP048445,G0D91_RS06250,WP_155824149.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP048445,G0D91_RS06250,WP_155824149.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMOXYGENASE,NZ_CP048813,G4H72_RS03810,WP_083342838.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP048878,G4Y78_RS00090,WP_163830663.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
FMOXYGENASE,NZ_CP048878,G4Y78_RS00090,WP_163830663.1,PRINTS,PR00370,IPR000960,Flavin_mOase,FAMILY,FMOXYGENASE
FMO,NZ_CP049257,G5V58_RS24460,WP_230486933.1,PIRSF,PIRSF000332,IPR000960,Flavin_mOase,FAMILY,FMO
